emfgf	😀
emsnf	ℹ️
emsid	🆔
emsir	Ⓜ️
emsew	🆕
emsng	🆖
emsob	🅾️
emsok	🆗
emsp	🅿️
emsos	🆘
emsup	🆙
emsvb	🆚
emsjh	🈁
emsja	🈂️
emsjm	🈷️
emsjn	🈶
emsjr	🈯
emsjb	🉐
emsjd	🈹
emsjf	🈚
emsjp	🈲
emsse	🉑
emspp	🈸
emsss	🈴
emsjv	🈳
emsjc	㊗️
emset	㊙️
emsjo	🈺
emsva	🈵
emsrc	🔴
emsor	🟠
emsye	🟡
emsgc	🟢
emsbl	🔵
emsrp	🟣
emsbr	🟤
emsac	⚫
emshi	⚪
emssq	🟥
emsqu	🟧
emsys	🟨
emsgs	🟩
emsue	🟦
emspd	🟪
emsow	🟫
emsck	⬛
emswl	⬜
emsbm	◼️
emswm	◻️
emsiu	◾
emsit	◽
emssm	▪️
emsal	▫️
emslo	🔶
emslb	🔷
emsia	🔸
emsam	🔹
emstr	🔺
emsgl	🔻
emsdw	💠
emsad	🔘
emswb	🔳
emsbd	🔲
emgcf	🏁
emgtf	🚩
emgcr	🎌
emgbf	🏴
emgwf	🏳️
emgrf	🏳️‍🌈
emgtr	🏳️‍⚧️
emgpf	🏴‍☠️
emgac	🇦🇨
emgad	🇦🇩
emgae	🇦🇪
emgaf	🇦🇫
emgag	🇦🇬
emgai	🇦🇮
emgal	🇦🇱
emgam	🇦🇲
emgao	🇦🇴
emgaq	🇦🇶
emgar	🇦🇷
emgas	🇦🇸
emgat	🇦🇹
emgau	🇦🇺
emgaw	🇦🇼
emgax	🇦🇽
emgaz	🇦🇿
emgba	🇧🇦
emgbb	🇧🇧
emgbd	🇧🇩
emgbe	🇧🇪
emgfb	🇧🇫
emgbg	🇧🇬
emgbh	🇧🇭
emgbi	🇧🇮
emgbj	🇧🇯
emgbl	🇧🇱
emgbm	🇧🇲
emgbn	🇧🇳
emgbo	🇧🇴
emgbq	🇧🇶
emgbr	🇧🇷
emgbs	🇧🇸
emgbt	🇧🇹
emgbv	🇧🇻
emgbw	🇧🇼
emgby	🇧🇾
emgbz	🇧🇿
emgca	🇨🇦
emgcc	🇨🇨
emgcd	🇨🇩
emgfc	🇨🇫
emgcg	🇨🇬
emgch	🇨🇭
emgci	🇨🇮
emgck	🇨🇰
emgcl	🇨🇱
emgcm	🇨🇲
emgcn	🇨🇳
emgco	🇨🇴
emgcp	🇨🇵
emgcq	🇨🇶
emgfl	🇨🇷
emgcu	🇨🇺
emgcv	🇨🇻
emgcw	🇨🇼
emgcx	🇨🇽
emgcy	🇨🇾
emgcz	🇨🇿
emgde	🇩🇪
emgdg	🇩🇬
emgdj	🇩🇯
emgdk	🇩🇰
emgdm	🇩🇲
emgdo	🇩🇴
emgdz	🇩🇿
emgea	🇪🇦
emgec	🇪🇨
emgee	🇪🇪
emgeg	🇪🇬
emgeh	🇪🇭
emger	🇪🇷
emges	🇪🇸
emget	🇪🇹
emgeu	🇪🇺
emgfi	🇫🇮
emgfj	🇫🇯
emgfk	🇫🇰
emgfm	🇫🇲
emgfo	🇫🇴
emgfr	🇫🇷
emgga	🇬🇦
emggb	🇬🇧
emggd	🇬🇩
emgge	🇬🇪
emggf	🇬🇫
emggg	🇬🇬
emggh	🇬🇭
emggi	🇬🇮
emggl	🇬🇱
emggm	🇬🇲
emggn	🇬🇳
emggp	🇬🇵
emggq	🇬🇶
emggr	🇬🇷
emggs	🇬🇸
emggt	🇬🇹
emggu	🇬🇺
emggw	🇬🇼
emggy	🇬🇾
emghk	🇭🇰
emghm	🇭🇲
emghn	🇭🇳
emghr	🇭🇷
emght	🇭🇹
emghu	🇭🇺
emgic	🇮🇨
emgid	🇮🇩
emgie	🇮🇪
emgil	🇮🇱
emgim	🇮🇲
emgin	🇮🇳
emgio	🇮🇴
emgiq	🇮🇶
emgir	🇮🇷
emgis	🇮🇸
emgit	🇮🇹
emgje	🇯🇪
emgjm	🇯🇲
emgjo	🇯🇴
emgjp	🇯🇵
emgke	🇰🇪
emgkg	🇰🇬
emgkh	🇰🇭
emgki	🇰🇮
emgkm	🇰🇲
emgkn	🇰🇳
emgkp	🇰🇵
emgkr	🇰🇷
emgkw	🇰🇼
emgky	🇰🇾
emgkz	🇰🇿
emgla	🇱🇦
emglb	🇱🇧
emglc	🇱🇨
emgli	🇱🇮
emglk	🇱🇰
emglr	🇱🇷
emgls	🇱🇸
emglt	🇱🇹
emglu	🇱🇺
emglv	🇱🇻
emgly	🇱🇾
emgma	🇲🇦
emgmc	🇲🇨
emgmd	🇲🇩
emgme	🇲🇪
emgmf	🇲🇫
emgmg	🇲🇬
emgmh	🇲🇭
emgmk	🇲🇰
emgml	🇲🇱
emgmm	🇲🇲
emgmn	🇲🇳
emgmo	🇲🇴
emgmp	🇲🇵
emgmq	🇲🇶
emgmr	🇲🇷
emgms	🇲🇸
emgmt	🇲🇹
emgmu	🇲🇺
emgmv	🇲🇻
emgmw	🇲🇼
emgmx	🇲🇽
emgmy	🇲🇾
emgmz	🇲🇿
emgna	🇳🇦
emgnc	🇳🇨
emgne	🇳🇪
emgnf	🇳🇫
emgng	🇳🇬
emgni	🇳🇮
emgnl	🇳🇱
emgno	🇳🇴
emgnp	🇳🇵
emgnr	🇳🇷
emgnu	🇳🇺
emgnz	🇳🇿
emgom	🇴🇲
emgpa	🇵🇦
emgpe	🇵🇪
emgff	🇵🇫
emgpg	🇵🇬
emgph	🇵🇭
emgpk	🇵🇰
emgpl	🇵🇱
emgpm	🇵🇲
emgpn	🇵🇳
emgpr	🇵🇷
emgps	🇵🇸
emgpt	🇵🇹
emgpw	🇵🇼
emgpy	🇵🇾
emgqa	🇶🇦
emgre	🇷🇪
emgro	🇷🇴
emgrs	🇷🇸
emgru	🇷🇺
emgrw	🇷🇼
emgsa	🇸🇦
emgsb	🇸🇧
emgsc	🇸🇨
emgsd	🇸🇩
emgse	🇸🇪
emgsg	🇸🇬
emgsh	🇸🇭
emgsi	🇸🇮
emgsj	🇸🇯
emgsk	🇸🇰
emgsl	🇸🇱
emgsm	🇸🇲
emgsn	🇸🇳
emgso	🇸🇴
emgsr	🇸🇷
emgss	🇸🇸
emgst	🇸🇹
emgsv	🇸🇻
emgsx	🇸🇽
emgsy	🇸🇾
emgsz	🇸🇿
emgta	🇹🇦
emgtc	🇹🇨
emgtd	🇹🇩
emgen	🇹🇫
emgtg	🇹🇬
emgth	🇹🇭
emgtj	🇹🇯
emgtk	🇹🇰
emgtl	🇹🇱
emgtm	🇹🇲
emgtn	🇹🇳
emgto	🇹🇴
emgft	🇹🇷
emgtt	🇹🇹
emgtv	🇹🇻
emgtw	🇹🇼
emgtz	🇹🇿
emgua	🇺🇦
emgug	🇺🇬
emgum	🇺🇲
emgun	🇺🇳
emgus	🇺🇸
emguy	🇺🇾
emguz	🇺🇿
emgva	🇻🇦
emgvc	🇻🇨
emgve	🇻🇪
emgvg	🇻🇬
emgvi	🇻🇮
emgvn	🇻🇳
emgvu	🇻🇺
emgfw	🇼🇫
emgws	🇼🇸
emgxk	🇽🇰
emgye	🇾🇪
emgyt	🇾🇹
emgza	🇿🇦
emgzm	🇿🇲
emgzw	🇿🇼
emgfe	🏴󠁧󠁢󠁥󠁮󠁧󠁿
emgfs	🏴󠁧󠁢󠁳󠁣󠁴󠁿
emgwa	🏴󠁧󠁢󠁷󠁬󠁳󠁿
